"","x"
"Feature_4",3.89481436416705
"Feature_6",0.798667895722058
"Feature_8",1.71172327168556
"Feature_9",2.03852791213963
"Feature_17",2.91899463976481
"Feature_18",1.99668688029225
"Feature_20",2.78206338256046
"Feature_86",0.899065986304098
"Feature_103",1.85914193270599
"Feature_203",2.91454610114061
"Feature_214",4.22440576954341
"Feature_234",-0.537537818718506
"Feature_286",-1.47068583173689
"Feature_287",1.7290910054579
"Feature_330",1.80002190200815
"Feature_448",0.761385646063048
"Feature_520",1.35653990537275
"Feature_624",1.43146696256202
"Feature_645",0.226325203363167
"Feature_687",2.33106023973873
"Feature_788",1.96115992957233
"Feature_915",0.622818282213176
"Feature_991",1.6491895014481
"Feature_1073",0.692873142454641
"Feature_1094",1.84275539032529
"Feature_1102",-0.11538954626171
"Feature_1208",4.26615420593324
"Feature_1239",2.67542404768801
"Feature_1271",2.02694297941736
"Feature_1346",1.70485536796746
"Feature_1438",1.06411331028243
"Feature_1590",-0.775423840475249
"Feature_1689",0.360087930358258
"Feature_1698",-0.672943079399614
"Feature_1818",2.25024521153044
"Feature_1827",0.64569580952186
"Feature_1831",1.30516324675274
"Feature_1900",2.46187534740327
"Feature_1940",0.502061001327168
"Feature_2121",0.475088464772344
"Feature_2158",1.97973084787426
"Feature_2255",0.653706185632028
"Feature_2423",1.49123654382424
"Feature_2579",-0.866291559363506
"Feature_2607",0.857504918515533
"Feature_2813",0.878663056293965
"Feature_2894",2.93759993075639
"Feature_2915",4.01581733909131
"Feature_3022",1.48677393256615
"Feature_3034",1.17928056598325
"Feature_3080",0.92650587993445
"Feature_3097",0.686335832760945
"Feature_3099",1.22237492062404
"Feature_3104",2.42690115443771
"Feature_3156",1.12729219830014
"Feature_3244",1.0860099918058
"Feature_3261",1.0669237164288
"Feature_3400",0.212836735928919
"Feature_3411",-2.08733180692272
"Feature_3434",2.83549271772482
"Feature_3446",2.08648617835518
"Feature_3503",1.56764199614047
"Feature_3633",2.11704868947039
"Feature_3638",1.23252269494139
"Feature_3784",2.06069951481003
"Feature_3795",0.346722269364851
"Feature_3876",0.906833560060197
"Feature_3884",1.48856524916337
"Feature_3966",2.09060998311446
"Feature_3986",1.08203202362425
"Feature_4081",-0.425414395035162
"Feature_4089",-0.881247167014886
"Feature_4394",3.45996361023189
"Feature_4501",1.33316297224422
"Feature_4566",1.05686875432806
"Feature_4625",0.132995862467106
"Feature_4632",1.96632302480768
"Feature_4649",-0.15564017264821
"Feature_4931",-1.21906768803837
"Feature_4932",1.09317084708586
